Code,Name,Purchase Price,Tax,Retail Price,Category Code
A111,Ph?t vÖ tr?c n??c m†t,0,0,0,1
A112,Le nhi?t,0,0,0,1
A113,DÉy le,0,0,0,1
A114,DÉy ?ng - ten,0,0,0,1
A115,B?c m†y,0,0,0,1
A116,Ph?t vÖ tr?c n??c m†t,0,0,0,2
A117,Ph?t vÖ tr?c n??c m†t,0,0,0,2
A118,Le nhi?t,0,0,0,2
A119,DÉy le,0,0,0,2
A120,DÉy ?ng - ten,0,0,0,2
A121,B?m x?ng,0,0,0,3
A122,B?c m†y,0,0,0,3
A123,M† ??a,0,0,0,4
A124,M† ??a,0,0,0,6
A125,Ph?t vÖ tr?c n??c m†t,0,0,0,10
A126,Ph?t vÖ tr?c n??c m†t,0,0,0,10
A127,Le nhi?t,0,0,0,10
A128,DÉy phun x?ng ?i?n t?,0,0,0,10
A129,DÉy le,0,0,0,10
A130,DÉy ?ng - ten,0,0,0,10
A131,B?m x?ng,0,0,0,10
A132,M† ??a,0,0,0,11
A133,Ph?t vÖ tr?c n??c m†t,0,0,0,15
A134,Ph?t vÖ tr?c n??c m†t,0,0,0,15
A135,DÉy phun x?ng ?i?n t?,0,0,0,15
A136,DÉy le,0,0,0,15
A137,DÉy ?ng - ten,0,0,0,15
A138,B?m x?ng,0,0,0,15
A139,Tr?c kÇt n??c,0,0,0,18
A140,Ph?t kÇt n??c,0,0,0,18
A141,Phay rÖ m?t quy l†t,0,0,0,18
A142,DÉy le,0,0,0,18
A143,DÉy ?ng - ten,0,0,0,18
A144,B?n Sup pap,0,0,0,18
A145,B?c m†y,0,0,0,18
A146,Ph?t vÖ tr?c n??c m†t,0,0,0,20
A147,DÉy phun x?ng ?i?n t?,0,0,0,20
A148,DÉy le,0,0,0,20
A149,DÉy ?ng - ten,0,0,0,20
A150,B?m x?ng,0,0,0,20
A151,DÉy phun x?ng ?i?n t?,0,0,0,21
A152,DÉy le,0,0,0,21
A153,DÉy ?ng - ten,0,0,0,21
A154,B?m x?ng,0,0,0,21
A155,B?c m†y,0,0,0,21
A156,Ph?t vÖ tr?c n??c m†t,0,0,0,22
A157,DÉy phun x?ng ?i?n t?,0,0,0,22
A158,DÉy ?ng - ten,0,0,0,22
A159,B?m x?ng,0,0,0,22
A160,Ph?t vÖ tr?c n??c m†t,0,0,0,24
A161,Ph?t vÖ tr?c n??c m†t,0,0,0,24
A162,Tr?c kÇt n??c,0,0,0,25
A163,Ph?t vÖ tr?c n??c m†t,0,0,0,25
A164,Ph?t kÇt n??c,0,0,0,25
A165,Phay rÖ m?t quy l†t,0,0,0,25
A166,DÉy le,0,0,0,25
A167,B?n Sup pap,0,0,0,25
A168,Ph?t vÖ tr?c n??c m†t,0,0,0,27
A169,Ph?t vÖ tr?c n??c m†t,0,0,0,27
A170,Le nhi?t,0,0,0,27
A171,DÉy phun x?ng ?i?n t?,0,0,0,27
A172,DÉy le,0,0,0,27
A173,DÉy ?ng - ten,0,0,0,27
A174,B?m x?ng,0,0,0,27
A175,DÉy le,0,0,0,28
A176,DÉy ?ng - ten,0,0,0,28
A177,B?c m†y,0,0,0,28
A178,DÉy le,0,0,0,29
A179,DÉy ?ng - ten,0,0,0,29
A180,B?n Sup pap,0,0,0,29
A181,B? ECU ?i?u khi?n khìng t?,0,0,0,29
A182,Ph?t vÖ tr?c n??c m†t,0,0,0,32
A183,Ph?t vÖ tr?c n??c m†t,0,0,0,32
A184,DÉy le,0,0,0,32
A185,DÉy ?ng - ten,0,0,0,32
A186,B?m x?ng,0,0,0,32
A187,Tr?c kÇt n??c,0,0,0,33
A188,Ph?t kÇt n??c,0,0,0,33
A189,Phay rÖ m?t quy l†t,0,0,0,33
A190,B?n Sup pap,0,0,0,33
A191,Ph?t vÖ tr?c n??c m†t,0,0,0,34
A192,Le nhi?t,0,0,0,34
A193,DÉy phun x?ng ?i?n t?,0,0,0,34
A194,DÉy le,0,0,0,34
A195,DÉy ?ng - ten,0,0,0,34
A196,B?m x?ng,0,0,0,34
A197,B? ECU ?i?u khi?n FI,0,0,0,34
A198,B? ECU ?i?u khi?n c¢ t?,0,0,0,34
A199,Ph?t vÖ tr?c n??c m†t,0,0,0,35
A200,Le nhi?t,0,0,0,35
A201,DÉy phun x?ng ?i?n t?,0,0,0,35
A202,DÉy le,0,0,0,35
A203,DÉy ?ng - ten,0,0,0,35
A204,B?m x?ng,0,0,0,35
A205,DÉy le,0,0,0,37
A206,DÉy ?ng - ten,0,0,0,37
A207,B?c m†y,0,0,0,37
A208,B¢ng t†p lì,0,0,10000,1
A209,B¢ng t†p lì,0,0,10000,2
A210,B¢ng t†p lì,0,0,10000,3
A211,B¢ng t†p lì,0,0,10000,10
A212,B¢ng t†p lì,0,0,10000,15
A213,B¢ng t†p lì,0,0,10000,18
A214,B¢ng t†p lì,0,0,10000,20
A215,B¢ng t†p lì,0,0,10000,21
A216,B¢ng t†p lì,0,0,10000,22
A217,B¢ng t†p lì,0,0,10000,27
A218,B¢ng t†p lì,0,0,10000,28
A219,B¢ng t†p lì,0,0,10000,32
A220,B¢ng t†p lì,0,0,10000,35
A221,B¢ng t†p lì,0,0,10000,37
A222,V† xe XS,0,0,15000,19
A223,R?a xe,0,0,15000,19
A224,B¢ng t†p lì,0,0,15000,25
A225,B¢ng t†p lì,0,0,15000,29
A226,B¢ng t†p lì,0,0,15000,34
A227,B¢ng xin nhan,0,0,25000,1
A228,B¢ng xin nhan,0,0,25000,2
A229,B¢ng xin nhan,0,0,25000,3
A230,B¢ng xin nhan,0,0,25000,10
A231,B¢ng xin nhan,0,0,25000,15
A232,B¢ng xin nhan,0,0,25000,18
A233,B¢ng xin nhan,0,0,25000,20
A234,B¢ng xin nhan,0,0,25000,21
A235,B¢ng xin nhan,0,0,25000,22
A236,B¢ng xin nhan,0,0,25000,27
A237,B¢ng xin nhan,0,0,25000,28
A238,B¢ng xin nhan,0,0,25000,32
A239,B¢ng xin nhan,0,0,25000,35
A240,B¢ng xin nhan,0,0,25000,37
A241,B¢ng h?u ( 1 qu?),0,0,30000,1
A242,B¢ng h?u ( 1 qu?),0,0,30000,2
A243,B¢ng h?u ( 1 qu?),0,0,30000,3
A244,B¢ng h?u ( 1 qu?),0,0,30000,10
A245,B¢ng h?u ( 1 qu?),0,0,30000,15
A246,B¢ng h?u ( 1 qu?),0,0,30000,18
A247,V† xe XG,0,0,30000,19
A248,Ph?t bi b†nh tr??c,0,0,30000,19
A249,B¢ng h?u ( 1 qu?),0,0,30000,20
A250,B¢ng h?u ( 1 qu?),0,0,30000,21
A251,B¢ng h?u ( 1 qu?),0,0,30000,22
A252,B¢ng h?u ( 1 qu?),0,0,30000,27
A253,B¢ng h?u ( 1 qu?),0,0,30000,28
A254,B¢ng h?u ( 1 qu?),0,0,30000,32
A255,B¢ng h?u ( 1 qu?),0,0,30000,35
A256,B¢ng h?u ( 1 qu?),0,0,30000,37
A257,D?u phanh,0,0,30000,38
A258,RÖ vÇt mi?ng CE,0,0,40000,1
A259,B¢ng h?u,0,0,40000,4
A260,B¢ng h?u,0,0,40000,5
A261,B¢ng ?än pha,0,0,40000,5
A262,B¢ng h?u,0,0,40000,6
A263,B¢ng h?u,0,0,40000,8
A264,B¢ng h?u,0,0,40000,9
A265,B¢ng h?u,0,0,40000,11
A266,B¢ng h?u,0,0,40000,12
A267,MÖi cam cï,0,0,40000,13
A268,B¢ng h?u,0,0,40000,13
A269,B¢ng h?u,0,0,40000,14
A270,B¢ng h?u,0,0,40000,17
A271,B¢ng h?u,0,0,40000,30
A272,B¢ng h?u,0,0,40000,31
A273,B¢ng h?u,0,0,40000,36
A274,B¢ng h?u,0,0,40000,38
A275,L?c gi¢,0,0,45000,4
A276,Bi nhìng   ,0,0,45000,4
A277,L?c gi¢,0,0,45000,5
A278,?ui ?än,0,0,45000,5
A279,Bi nhìng   ,0,0,45000,5
A280,Bi nhìng   ,0,0,45000,6
A281,L?c gi¢,0,0,45000,11
A282,Bi nhìng   ,0,0,45000,11
A283,L?c gi¢,0,0,45000,12
A284,Bi nhìng   ,0,0,45000,12
A285,L?c gi¢,0,0,45000,13
A286,Bi nhìng   ,0,0,45000,13
A287,L?c d?u nh?,0,0,45000,19
A288,C?n b†nh tr??c,0,0,45000,19
A289,Bi 203 ( vïng),0,0,45000,19
A290,B¢ng xin nhan,0,0,45000,29
A291,Bi nhìng   ,0,0,45000,38
A292,Cìng t?c ??,0,0,50000,1
A293,Cìng t?c Cïi,0,0,50000,1
A294,Cìng t?c Cïi,0,0,50000,2
A295,Cìng t?c Cïi,0,0,50000,10
A296,Cìng t?c Cïi,0,0,50000,15
A297,Cìng t?c Cïi,0,0,50000,18
A298,êp vÖnh nan,0,0,50000,19
A299,Cìng t?c Cïi,0,0,50000,20
A300,Cìng t?c Cïi,0,0,50000,21
A301,Cìng t?c Cïi,0,0,50000,22
A302,Cìng t?c Cïi,0,0,50000,27
A303,Cìng t?c Cïi,0,0,50000,28
A304,Cìng t?c Cïi,0,0,50000,32
A305,Cìng t?c ??,0,0,50000,35
A306,Cìng t?c Cïi,0,0,50000,35
A307,Cìng t?c Cïi,0,0,50000,37
A308,DÉy Ga,0,0,55000,4
A309,DÉy cìng t? mÇt,0,0,55000,4
A310,DÉy Ga,0,0,55000,5
A311,DÉy cìng t? mÇt,0,0,55000,5
A312,DÉy Ga,0,0,55000,6
A313,DÉy cìng t? mÇt,0,0,55000,6
A314,Bi nhìng   ,0,0,55000,8
A315,Bi nhìng   ,0,0,55000,14
A316,Bi nhìng   ,0,0,55000,17
A317,Buzzi CN,0,0,55000,19
A318,Bi 6004 ( vïng),0,0,55000,19
A319,Bi nhìng   ,0,0,55000,30
A320,Bi nhìng   ,0,0,55000,31
A321,Bi nhìng   ,0,0,55000,36
A322,B¢ng ?än pha,0,0,60000,4
